2025-01-30 11:16:36,082 - INFO - Starting Telegram Scraper
2025-01-30 11:16:36,087 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-30 11:16:40,105 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,709 - INFO - Phone migrated to 4
2025-01-30 11:16:51,834 - INFO - Reconnecting to new data center 4
2025-01-30 11:16:51,976 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-30 11:16:51,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,978 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-01-30 11:16:53,584 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-01-30 11:22:55,877 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:56,432 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:58,083 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:58,752 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:15,641 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:18,187 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:21,212 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:22,275 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:22,670 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:23,385 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:24,127 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:24,538 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:26,554 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:28,703 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:30,599 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:31,904 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:33,126 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:34,192 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:34,588 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:34,789 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:35,392 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:37,432 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:37,972 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
